Fecha	Territorio	Confirmados PDIA	Confirmados PDIA 14 días	Confirmados PDIA 7 días	Total confirmados	Hospitalizados	Total UCI	Fallecidos	Curados
	Málaga	14326	3035	1363	16124	2202	203	355	5830
	Sevilla	9074	2930	1468	9750	1812	187	337	4024
22/09/2020	Andalucía	52170	12446	5716	57100	9023	981	1718	24859
	Almería	7225	1317	608	7504	689	98	112	3943
	Cádiz	5643	1354	555	5977	880	103	213	2467
	Córdoba	5551	1676	780	5961	821	101	142	2494
	Granada	6270	1152	520	7079	1492	154	308	3514
	Huelva	1153	336	159	1280	250	34	55	573
	Jaén	3844	1097	622	4341	935	102	200	2579
	Málaga	13815	2809	1205	15612	2186	204	354	5582
	Sevilla	8669	2705	1267	9346	1770	185	334	3707
21/09/2020	Andalucía	50634	11840	5160	55558	8883	972	1706	23883
	Almería	7178	1377	600	7457	686	97	111	3792
	Cádiz	5510	1285	500	5842	859	102	211	2327
	Córdoba	5376	1551	716	5786	814	100	140	2432
	Granada	6129	1103	424	6937	1484	154	308	3477
	Huelva	1141	336	162	1268	250	34	55	568
	Jaén	3770	1044	582	4267	920	102	200	2528
	Málaga	13268	2728	1085	15064	2169	202	350	5304
	Sevilla	8262	2416	1091	8937	1701	181	331	3455
20/09/2020	Andalucía	49822	11771	5132	54743	8828	972	1692	23544
	Almería	7088	1411	607	7366	682	97	110	3788
	Cádiz	5440	1387	494	5772	855	102	210	2241
	Córdoba	5301	1502	715	5711	801	100	138	2412
	Granada	6043	1072	416	6850	1480	154	308	3458
	Huelva	1136	341	178	1263	250	34	55	556
	Jaén	3675	986	560	4172	914	102	200	2527
	Málaga	13058	2748	1146	14853	2155	202	341	5123
	Sevilla	8081	2324	1016	8756	1691	181	330	3439
19/09/2020	Andalucía	49079	11903	5206	53999	8779	972	1689	23388
	Almería	7019	1459	611	7297	675	97	109	3646
	Cádiz	5383	1433	559	5715	854	102	210	2241
	Córdoba	5138	1414	634	5547	788	99	138	2412
	Granada	5942	1063	388	6749	1474	155	308	3456
	Huelva	1101	341	186	1228	249	34	55	556
	Jaén	3536	896	484	4033	914	102	200	2527
	Málaga	12985	2899	1304	14781	2144	202	339	5111
	Sevilla	7975	2398	1040	8649	1681	181	330	3439
18/09/2020	Andalucía	47599	11892	5403	52519	8673	968	1678	22539
	Almería	6919	1515	587	7198	670	97	107	3292
	Cádiz	5261	1505	629	5593	845	102	210	2169
	Córdoba	4819	1291	656	5228	778	98	135	2271
	Granada	5863	1084	418	6670	1456	155	308	3440
	Huelva	1072	333	181	1199	246	34	53	546
	Jaén	3421	861	474	3918	898	102	200	2429
	Málaga	12520	2944	1313	14315	2126	199	338	4986
	Sevilla	7724	2359	1145	8398	1654	181	327	3406
17/09/2020	Andalucía	45982	11337	5257	50904	8579	953	1672	22045
	Almería	6784	1510	614	7063	661	92	104	3200
	Cádiz	5098	1472	592	5429	840	101	210	2158
	Córdoba	4480	1071	594	4889	771	95	133	2220
	Granada	5717	1033	410	6524	1440	153	308	3392
	Huelva	1040	307	174	1167	244	34	53	541
	Jaén	3303	824	412	3800	891	102	199	2308
	Málaga	12125	2863	1343	13923	2105	198	338	4851
	Sevilla	7435	2257	1118	8109	1627	178	327	3375
16/09/2020	Andalucía	44593	11004	5086	49512	8438	947	1647	21619
	Almería	6632	1527	613	6911	653	91	100	3140
	Cádiz	4919	1440	618	5248	810	101	199	2156
	Córdoba	4354	1051	561	4763	749	95	132	2001
	Granada	5612	1047	383	6419	1425	152	306	3391
	Huelva	1000	282	151	1127	243	34	53	541
	Jaén	3194	796	422	3691	880	100	199	2190
	Málaga	11775	2776	1311	13572	2080	198	332	4829
	Sevilla	7107	2085	1027	7781	1598	176	326	3371
15/09/2020	Andalucía	43678	10981	5026	48592	8320	942	1631	21375
	Almería	6583	1589	675	6862	648	91	99	3011
	Cádiz	4774	1421	611	5103	790	100	193	2115
	Córdoba	4245	1028	499	4652	735	95	130	2000
	Granada	5588	1154	487	6395	1419	152	306	3391
	Huelva	979	276	161	1106	243	34	53	540
	Jaén	3157	822	460	3654	871	100	198	2148
	Málaga	11469	2719	1155	13263	2049	195	329	4799
	Sevilla	6883	1972	978	7557	1565	175	323	3371
14/09/2020	Andalucía	42640	10893	4739	47556	8196	928	1609	20996
	Almería	6458	1602	656	6737	632	90	98	2920
	Cádiz	4627	1359	517	4956	776	98	192	2064
	Córdoba	4158	1093	488	4565	733	93	128	1983
	Granada	5517	1157	529	6324	1416	147	306	3318
	Huelva	961	263	157	1088	242	34	53	540
	Jaén	3067	765	392	3564	868	100	198	2148
	Málaga	11171	2746	1111	12967	2020	192	320	4706
	Sevilla	6681	1908	889	7355	1509	174	314	3317
13/09/2020	Andalucía	41995	11018	4777	46911	8158	923	1603	20626
	Almería	6405	1663	727	6684	628	87	97	2873
	Cádiz	4565	1365	568	4894	773	98	192	2040
	Córdoba	4024	1019	426	4431	720	91	125	1951
	Granada	5491	1206	557	6298	1414	147	304	3168
	Huelva	939	257	144	1066	241	34	53	540
	Jaén	3013	748	375	3510	866	100	198	2146
	Málaga	10987	2865	1113	12783	2007	192	320	4649
	Sevilla	6571	1895	867	7245	1509	174	314	3259
12/09/2020	Andalucía	41255	11117	4917	46169	8128	919	1603	20379
	Almería	6350	1805	790	6629	628	87	97	2868
	Cádiz	4491	1408	588	4820	771	98	192	2036
	Córdoba	3873	978	402	4279	716	91	125	1929
	Granada	5421	1188	555	6227	1407	144	304	3102
	Huelva	905	243	145	1032	240	33	53	537
	Jaén	2924	709	333	3421	863	100	198	2147
	Málaga	10871	2944	1204	12667	2002	192	320	4521
	Sevilla	6420	1842	900	7094	1501	174	314	3239
11/09/2020	Andalucía	40124	11002	5032	45030	8049	918	1589	20162
	Almería	6189	1715	785	6467	626	87	96	2839
	Cádiz	4349	1407	636	4677	763	98	192	1977
	Córdoba	3765	967	412	4171	705	91	124	1926
	Granada	5343	1188	586	6149	1399	143	303	3072
	Huelva	877	228	138	1004	238	33	52	532
	Jaén	2887	737	358	3384	859	100	197	2133
	Málaga	10503	2987	1244	12293	1976	192	316	4449
	Sevilla	6211	1773	873	6885	1483	174	309	3234
10/09/2020	Andalucía	38882	10837	4699	43783	7972	913	1582	20095
	Almería	6092	1823	818	6370	617	86	95	2826
	Cádiz	4213	1402	631	4541	762	98	192	1973
	Córdoba	3694	965	402	4099	696	91	124	1916
	Granada	5200	1141	539	6006	1389	142	303	3052
	Huelva	851	224	119	978	237	33	52	523
	Jaén	2795	706	343	3292	852	100	196	2132
	Málaga	10025	2845	992	11811	1950	190	315	4439
	Sevilla	6012	1731	855	6686	1469	173	305	3234
09/09/2020	Andalucía	37905	10864	4775	42805	7874	903	1566	19882
	Almería	5936	1823	827	6214	617	85	92	2736
	Cádiz	4094	1384	642	4422	755	97	191	1899
	Córdoba	3634	1002	443	4038	691	90	124	1915
	Granada	5124	1174	587	5930	1378	142	302	3051
	Huelva	843	223	126	970	237	33	52	519
	Jaén	2704	663	332	3202	837	98	194	2119
	Málaga	9733	2910	998	11518	1920	187	308	4420
	Sevilla	5837	1685	820	6511	1439	171	303	3223
08/09/2020	Andalucía	37124	10856	4876	42024	7809	901	1561	19627
	Almería	5849	1855	855	6127	612	85	89	2570
	Cádiz	3985	1366	661	4313	744	96	190	1884
	Córdoba	3583	1020	465	3987	685	89	124	1915
	Granada	4949	1086	542	5755	1369	142	302	3051
	Huelva	811	207	110	938	236	33	52	519
	Jaén	2662	665	347	3160	835	98	194	2061
	Málaga	9598	3025	1111	11383	1908	187	307	4405
	Sevilla	5687	1632	785	6361	1420	171	303	3222
07/09/2020	Andalucía	36081	10435	4728	40985	7730	896	1553	19318
	Almería	5656	1770	803	5936	606	85	88	2432
	Cádiz	3882	1334	648	4210	742	95	190	1828
	Córdoba	3546	1022	529	3951	682	88	124	1866
	Granada	4783	976	455	5589	1360	142	302	3047
	Huelva	797	195	100	924	235	33	52	519
	Jaén	2590	634	310	3090	831	98	194	2036
	Málaga	9291	2923	1114	11075	1876	187	303	4385
	Sevilla	5536	1581	769	6210	1398	168	300	3205
06/09/2020	Andalucía	35420	10406	4821	40322	7678	892	1544	19171
	Almería	5531	1801	791	5811	600	85	87	2341
	Cádiz	3784	1317	620	4112	731	95	186	1803
	Córdoba	3492	1061	517	3897	673	86	124	1866
	Granada	4712	959	473	5518	1356	142	300	3047
